Date,Ticker,Close,High,Low,Open,Volume,Bullish/Bearish,confirmed_trend,Harami,Harami_cross,Body %,Upper_wick,Upper_wick_percentage,Lower_wick,Lower_wick_percentage,Wick_to_body_ratio,RSI,gap_size,gap_percentage,5_EMA,10_EMA,20_EMA,50_EMA,200_EMA,EMA_Alignment,5EMA_touched,10EMA_touched,20EMA_touched,50EMA_touched,200EMA_touched,5EMA_days_since_touch,10EMA_days_since_touch,20EMA_days_since_touch,5_day_return,10_day_return,15_day_return,22_day_return,6_month_return,1_year_return,5_year_return,Candle_Body,Candle_Range
2015-01-02,NVDA,0.48242297768592834,0.48601780889920887,0.4747540425228657,0.48242297768592834,113680000,Doji,0,0,0,0.0,0.003594831213280525,31.915001547178722,0.007668935163062662,68.08499845282128,inf,,,,0.48242297768592834,0.48242297768592834,0.48242297768592834,0.48242297768592834,0.48242297768592834,divergence,True,True,True,True,True,0,0,0,-0.9438744101981853,-0.8444886460969189,2.43415430578877,0.14906629088535306,2.302570717066929,66.45144821947945,1120.5541472954105,0.0,0.011263766376343187
2015-01-05,NVDA,0.47427472472190857,0.48386089334232535,0.47211785463790906,0.4824229609070251,197952000,Bearish,0,0,0,69.38779978688262,0.001437932435300271,12.244977398903552,0.002156870083999507,18.367222814213818,0.4411755424893071,,-1.677890326678977e-08,-3.4780481119026078e-06,0.47970689336458844,0.48094147714701563,0.4816469535941169,0.48210343835400604,0.4823419005420078,Bearish,True,True,True,True,True,0,0,0,-0.5052903355211528,1.1622205553480864,-0.8084758476158662,3.5371454564682874,2.7862289218078726,66.28044744699626,1117.675359065488,0.008148236185116509,0.011743038704416286
2015-01-06,NVDA,0.4598955512046814,0.47547303002666463,0.4594162498777956,0.47499372869977885,197764000,Bearish,0,0,0,94.02991979161472,0.00047930132688578375,2.985040104192645,0.00047930132688578375,2.985040104192645,0.0634912825791614,,0.0007190039778702806,0.1516007369551201,0.47310311264461946,0.4771149451575003,0.47957539146178974,0.4812325408187384,0.48211855378243246,Bearish,True,False,False,False,False,0,1,1,2.449179712140089,5.784266165632011,0.6253169645998901,6.3053485155785545,4.00289433312333,74.23407160947187,1171.8553061542682,0.015098177495097453,0.01605678014886902
2015-01-07,NVDA,0.45869725942611694,0.4673247971311359,0.45725932695229654,0.46325066464496206,321808000,Bearish,0,0,0,45.237878985700505,0.0040741324861738315,40.476325633936945,0.0014379324738204025,14.28579538036255,1.2105368828545113,,0.003355113440280666,0.7295381378428332,0.4683011615717853,0.4737662750245215,0.4775869979345828,0.48034880429353755,0.4818855060773945,Bearish,False,False,False,False,False,1,2,2,3.1347721437386227,7.889216302740907,3.343772979664,6.478571112066628,3.536920730546543,67.4658310791416,1200.1611946884886,0.004553405218845119,0.010065470178839353
2015-01-08,NVDA,0.4759523868560791,0.4788282522906651,0.46373004446595795,0.4639697094418256,283780000,Bullish,0,0,0,79.36489915475067,0.0028758654345860113,19.047727173816337,0.00023966497586763724,1.5873736714329907,0.2600028610256747,,0.005272450015708641,1.1494400516595809,0.4708515699998833,0.4741637499029865,0.477431320689011,0.4801763957665784,0.4818264700652421,Bearish,True,True,True,False,False,0,0,0,-1.3091854435905823,4.2799602161811245,-3.3232663206579813,5.488421265658429,-1.4354259328183445,54.99608273150831,1132.969374674709,0.011982677414253518,0.015098207824707166
2015-01-09,NVDA,0.47786951065063477,0.48146434161408075,0.47115920713378534,0.47762987429903825,209540000,Doji,0,0,0,2.325407320542291,0.003594830963445983,34.88388211060913,0.006470667165252908,62.79071056884858,42.00321888411349,,0.0016774874429591469,0.3524485829433174,0.47319088355013383,0.474837524584377,0.4774730530663085,0.4800859296836002,0.4817870973347485,Bearish,True,True,True,True,False,0,0,0,0.10033277953231255,3.4102168804538175,-1.6048068431845055,4.363110116597566,-0.11122794150663813,51.060429170845126,1133.1726811453202,0.0002396363515965172,0.010305134480295408
2015-01-12,NVDA,0.4718782603740692,0.4793075314540888,0.4675644909911209,0.4790678664893313,190732000,Bearish,0,0,0,61.22440042623367,0.0002396649647574689,2.040910661197682,0.004313769382948307,36.73468891256864,0.6333357175214018,,0.001198355838696541,0.2507705162158056,0.4727533424914457,0.4742994765461392,0.4769402156670476,0.4797640602989127,0.48168850194210494,Bearish,True,True,True,False,False,0,0,0,1.6759794530709269,-0.30472525938025363,2.1330578686208392,13.255444574315883,1.822869545770588,53.2365303749171,1163.9492188987638,0.007189606115262093,0.011743040462967869
2015-01-13,NVDA,0.4711592197418213,0.485059128419619,0.4678040821780894,0.47547298844444136,236720000,Bearish,0,0,0,25.000041392167617,0.009586139975177654,55.55557395207457,0.0033551375637319025,19.44438465575782,2.9999933772641465,,0.003594728070372144,0.7617914136418399,0.4722219682415709,0.4737285207635359,0.4763896446265498,0.47942661557118366,0.4815837329649877,Bearish,True,True,True,True,True,0,0,0,3.2553569124348174,-1.7802609573496406,2.5432778307698927,13.479203617070265,2.0295670698846515,56.05578425096841,1168.2523144341242,0.004313768702620069,0.017255046241529626
2015-01-14,NVDA,0.47307637333869934,0.4745143055190532,0.4649281671672164,0.466126434461196,155260000,Bullish,0,0,0,72.49988079059652,0.0014379321803538736,15.000119209403554,0.0011982672939795935,12.499999999999927,0.3793126127866729,,-0.005032785280625285,-1.06817081567099,0.47250676994061375,0.4736099485044747,0.4760740949800879,0.4791775864640274,0.4814990826204475,Bearish,True,True,False,False,False,0,0,1,4.609933255465024,0.20264827427367935,3.79941575459299,13.373897846446306,0.9008297882379711,50.685522296507415,1176.9847993005333,0.006949938877503337,0.009586138351836804
2015-01-15,NVDA,0.4697212874889374,0.479307426884565,0.4694816225764671,0.4764315907796665,188932000,Bearish,0,0,0,68.29266165212393,0.0028758361048984993,29.268200492537606,0.0002396649124702943,2.4391378553384646,0.46428617044376036,,0.003355217440967173,0.7092337791650827,0.47157827579005496,0.4729029192289224,0.47546906569521646,0.47880675121010235,0.4813818906290892,Bearish,True,True,True,True,False,0,0,0,5.663288609880789,-2.040798716800737,4.0816291570119105,12.857161981827433,3.8854896549641333,48.70164646403571,1192.98590953968,0.006710303290729136,0.00982580430809793
2015-01-16,NVDA,0.478348970413208,0.478828271815531,0.4675645317316734,0.4690024645076,181512000,Bullish,0,0,0,82.97870721469087,0.0004793014023229958,4.255259787198893,0.0014379327759266314,12.76603299811023,0.20512844025479837,,-0.0007188229813373526,-0.15303180853907583,0.47383517399777264,0.4738931103533379,0.4757433423350252,0.47878879902198884,0.48135171231848345,Bearish,True,True,True,True,False,0,0,0,3.306566530814054,-1.7034305235251634,2.1041787014271254,11.122236947757136,1.405450269919221,38.07437270135037,1209.471919279923,0.009346505905607982,0.01126374008385761
2015-01-20,NVDA,0.47978684306144714,0.48434022009735767,0.4737954762919059,0.48170404843047177,140308000,Bearish,0,0,0,18.181621141268494,0.0026361716668859003,24.99986453462209,0.005991366769541262,56.818514324109415,4.500059605412238,,0.0033550780172637573,0.7013871095751643,0.4758190636856642,0.47496469811844866,0.4761284376423035,0.47882793800392837,0.481336141480105,divergence,True,True,True,True,True,0,0,0,-1.948055699198241,0.4495441479969998,4.64535785663373,11.5884210019582,-0.762272132232021,38.777667522311205,1181.1960016087983,0.0019172053690246216,0.010544743805451784
2015-01-21,NVDA,0.4864971339702606,0.4876954302162278,0.47379549088013956,0.47715065751714686,144780000,Bullish,0,0,0,67.24113125334023,0.0011982962459671787,8.620873926090145,0.0033551666370073008,24.137994820569634,0.48718497348351014,,-0.0026361855443002846,-0.5494493195101359,0.47937842044719636,0.4770615046369599,0.4771159325306804,0.4791286907869218,0.48138749463921104,divergence,True,True,True,True,True,0,0,0,-4.87685871257497,-0.6896291901531076,2.51231688539699,9.162537555588704,-1.6839667155411298,37.61469137568392,1154.7870744759218,0.009346476453113761,0.01389993933608824
2015-01-22,NVDA,0.4948848783969879,0.4963228105782464,0.4824228756766035,0.4874555811731165,159712000,Bullish,0,0,0,53.44843178361456,0.0014379321812584833,10.344884284951075,0.005032705496512968,36.20668393143437,0.8709622838860642,,0.0009584472028558721,0.197009835399043,0.48454723976379355,0.48030211804787404,0.4788082130893764,0.47974658049712043,0.4815217969651591,divergence,True,False,False,False,False,0,1,1,-4.213065474794288,-0.7747997495540807,7.990331684269282,8.454777944836739,-5.2061472585632504,36.85760227239264,1150.397345326249,0.007429297223871423,0.013899934901642874
2015-01-23,NVDA,0.49632295966148376,0.4972815623576329,0.4912901955153603,0.4953642998274258,120416000,Bullish,0,0,0,16.000686642888542,0.0009586026961491134,15.999732972209497,0.004074104312065507,67.99958038490196,5.249731791631874,58.52946210948588,0.00047942143043788743,0.09687534442167861,0.4884724797296903,0.4832149983412576,0.48047628419148186,0.48039663458199744,0.48166907221586885,divergence,False,False,False,False,False,1,2,2,-7.291167469835027,-1.4968864528800725,7.725770070377183,7.316530997214755,-4.312099885702001,39.65171385449658,1148.5272251106126,0.0009586598340579622,0.005991366842272583
2015-01-26,NVDA,0.49416589736938477,0.49656243188641247,0.4910503967834598,0.49416589736938477,133240000,Doji,0,0,0,0.0,0.002396534517027704,43.47821579989458,0.0031155005859249685,56.52178420010543,inf,56.90708753174884,-0.002157062292098999,-0.43460860516511657,0.4903702856095885,0.4852060708918261,0.4817800568750917,0.48093660567169894,0.4817934187348093,divergence,False,False,False,False,False,2,3,3,-4.849640465831227,-1.1639026150658904,8.535438624931368,8.077047033746615,-5.019275749970328,40.11336519543278,1147.2363826192345,0.0,0.005512035102952673
2015-01-27,NVDA,0.4704403281211853,0.4869764383374354,0.46948169688851593,0.486497108436624,357948000,Bearish,0,0,0,91.78060940380699,0.00047932990081139826,2.7398512988084343,0.0009586312326693713,5.479539297384576,0.08955476161669587,42.84096290998632,-0.0076687889327607395,-1.5518652690491885,0.4837269664467875,0.4825213903880732,0.480700082708053,0.48052498694422785,0.48168045265905185,divergence,True,True,True,True,True,0,0,0,2.4452343747921335,6.72440878439374,12.68466638513995,12.811784186332675,-0.7942867054393064,48.62974916375036,1221.6041853469526,0.016056780315438723,0.017494741448919493
2015-01-28,NVDA,0.46277135610580444,0.4781091975005222,0.4625316911742654,0.4761919637550636,272728000,Bearish,0,0,0,86.15376150827132,0.001917233745458602,12.307706415287983,0.0002396649315390409,1.538532076440703,0.16071542610939116,39.44685475175576,0.005751635633878316,1.2226068408822077,0.47674176299979315,0.4789304750640243,0.4789925849364103,0.4798287661270348,0.4814923024445917,Bearish,True,False,False,False,False,0,1,1,4.4019041694278025,7.768010494570142,14.862786844177917,17.48845152926675,3.0432643419673973,49.30284137781805,1258.2778497980748,0.013420607649259175,0.015577506326256818
2015-01-29,NVDA,0.4740350544452667,0.4766712256294339,0.4608540842486352,0.4630109827472617,235340000,Bullish,0,0,0,69.69699159032452,0.002636171184167202,16.666546253214847,0.0021568984986264916,13.636462156460642,0.43478215799894326,46.18993753421186,0.00023962664145726897,0.05178078511032187,0.475839526814951,0.47804039858788655,0.478520439175349,0.47960156174735763,0.4814181009719616,Bearish,True,False,False,False,False,0,2,2,3.5894934338205067,12.740147933069437,12.942398948521049,12.565282849333933,1.8184736467304083,44.161996462084666,1213.5228348437822,0.011024071698005011,0.015817141380798705
2015-01-30,NVDA,0.46013522148132324,0.47619203138203364,0.45941628372250776,0.4706799942943984,298200000,Bearish,0,0,0,62.85724503663139,0.005512037087635258,32.857176916972286,0.0007189377588154855,4.285578046396318,0.5909065047588845,40.23545583308708,-0.0033550601508683386,-0.7077662547118068,0.4706047583704085,0.47478491184123867,0.47676946606163223,0.47883817585457195,0.4812063310267811,Bearish,True,True,False,False,False,0,0,3,6.2499773309837,16.19795776775217,15.416640975114863,17.27275412226346,5.156838503855287,55.082328685710024,1197.6648581541358,0.010544772813075143,0.016775747659525886
2015-02-02,NVDA,0.47020062804222107,0.4721178617953703,0.45390418399387944,0.46301102289462487,259604000,Bullish,0,100,0,39.473659444045424,0.0019172337531492278,10.526340555954576,0.009106838900745429,50.0,1.5333349227920376,45.69484520129761,0.0028758014133016263,0.6249904982373435,0.47047004826101274,0.4739514056959627,0.4761438624407359,0.47849944848938175,0.48109682154434774,Bearish,True,False,False,False,False,0,1,4,3.873593193772198,14.067292185013736,14.148357943034034,16.962423580945174,2.545978197177403,51.814348639169594,1210.964558925267,0.007189605147596201,0.018213677801490857
2015-02-03,NVDA,0.48194369673728943,0.48242302666035514,0.4711592877094961,0.47355582304900573,183468000,Bullish,0,0,0,74.46793400377943,0.00047932992306570776,4.25551342371222,0.00239653533950962,21.276552572508344,0.34285986764349796,51.28585791688431,0.0033551950067846614,0.7135666791332712,0.474294597753105,0.47540454952165845,0.4766962276118363,0.47863451704812326,0.481105248163183,Bearish,True,True,True,True,True,0,0,0,4.177036087346342,9.995030098605886,10.518424964846774,12.565032461426991,1.7524019489532936,41.84687274350121,1166.4876463290288,0.008387873688283698,0.011263738950859026
2015-02-04,NVDA,0.48314210772514343,0.48865414602894863,0.47906797382518207,0.48050593536694897,181516000,Bullish,0,0,0,27.49973923020777,0.0055120383038052,57.49988824151762,0.0014379615417668967,15.000372528274614,2.636398118646613,51.830896009514504,-0.0014377613703404624,-0.2983255886681293,0.4772437677437845,0.4768113782859284,0.47731012095596076,0.4788112853099672,0.48112551542250603,divergence,False,False,False,False,True,1,1,1,3.2241809686532923,10.01981980881666,10.543026737897323,12.584545385178563,1.9002120647372656,42.20101842148556,1164.7350202408047,0.0026361723581944663,0.009586172203766563
2015-02-05,NVDA,0.49105051159858704,0.4912901479649535,0.4831419401294616,0.4836212128621945,140448000,Bullish,1,0,0,91.17708932302922,0.00023963636636648022,2.9409702256571504,0.00047927273273290494,5.8819404513136195,0.09676675075371491,55.3788675459465,0.0004791051370510724,0.0991644341055101,0.4818460156953854,0.4794003116155027,0.4786187295885918,0.4792912549683444,0.48122427160336256,divergence,False,False,False,False,False,2,2,2,8.83357394260736,9.02881673098997,8.076891307544656,12.682072093445129,1.2926565588315924,39.960433141604554,1096.8820630990463,0.007429298736392531,0.008148207835491916
2015-02-06,NVDA,0.4888935685157776,0.49632286657788977,0.48673667000052906,0.4905711372038937,210524000,Bearish,1,0,0,17.499836088047445,0.0057517293739960396,60.00011920869266,0.0021568985152485287,22.500044703259896,4.714339237057252,54.20614675690911,-0.00047937439469331045,-0.09762221673137746,0.48419519996884947,0.48112635832464357,0.47959728567689525,0.47966781628393,0.4813005830154264,divergence,False,False,False,False,False,3,3,3,9.362807114564463,8.627449976366307,11.210892395315298,12.588729977653756,1.0969154525824731,31.70768639375939,1121.992879290899,0.0016775686881161378,0.009586196577360706
2015-02-09,NVDA,0.48841428756713867,0.48985216274842414,0.48290225176887,0.48601775274779996,273944000,Bullish,1,0,0,34.48295706792565,0.001437875181285464,20.6891165299171,0.003115500978929986,44.82792640215724,1.8999833106834987,53.93284648726531,-0.0028758157679776297,-0.5882294129391521,0.48560156250161257,0.48245143636873355,0.48043700014263274,0.4800108151577814,0.4813713661452942,divergence,True,False,False,False,False,0,4,4,9.813561539385265,9.891604240641467,9.251287979154117,11.664851568762028,13.71573321331395,25.801246535367806,1157.8014388657778,0.0023965348193387137,0.006949910979554164
2015-02-10,NVDA,0.502074658870697,0.5023142952726163,0.4867367863896275,0.4888936854206363,226204000,Bullish,1,0,0,84.61541283057642,0.00023963640191926316,1.538348677694895,0.002156899031008852,13.846238491728686,0.1818177877383616,60.106603818564885,0.00047939785349765396,0.0981539372825482,0.4910925946246408,0.48601929500545415,0.4824977295453055,0.48087606393083693,0.4815773690579848,divergence,True,False,False,False,False,0,5,5,5.58471831199104,6.0871273705498306,7.476694428566086,8.770421497694226,14.47283554235426,23.68865834106476,1141.5520308568437,0.013180973450060696,0.015577508882988811
2015-02-11,NVDA,0.4987194836139679,0.503272860601464,0.49536428854698716,0.503272860601464,320832000,Bearish,1,0,0,57.575210241886474,0.0,0.0,0.0033551950669807318,42.424789758113526,0.7368586164058698,58.0488693534197,0.0011982017307670123,0.23865011101378727,0.49363489095441654,0.48832842020700207,0.48404265850422573,0.481575805879195,0.4817479373620245,divergence,False,False,False,False,False,1,6,6,6.583378793993086,7.090243488070483,10.274025443269071,10.804649793366885,14.661398907115581,24.227660291178886,1167.300659862298,0.004553376987496138,0.00790857205447687
2015-02-12,NVDA,0.5344278216362,0.5392208916576806,0.5241227153762266,0.5272382166039791,676904000,Bullish,1,0,0,47.61902959798054,0.004793070021480661,31.746019731987516,0.003115501227752504,20.634950670031934,1.1000007947293586,69.87090645257324,0.028518732990011175,5.7183915862581385,0.507232534515011,0.4967101295577653,0.4888412454691757,0.4836484339480972,0.48227211531500136,Bullish,False,False,False,False,False,2,7,7,0.17939573360475233,-0.6952658151810168,1.5104485049481884,4.661534286891085,7.2715330924065915,15.334704927198345,1070.2518265519293,0.00718960503222088,0.015098176281454045
2015-02-13,NVDA,0.5346677303314209,0.5353866969146421,0.5250815854057118,0.5332297971649784,310084000,Bullish,1,0,0,13.953591527819691,0.0007189665832212366,6.976795763909846,0.00814821175926661,79.06961270827047,6.166613685130958,69.932213604189,-0.001198024471221526,-0.22416955531126054,0.5163775997871477,0.5036115115166118,0.4932056725989133,0.4856491906690119,0.4827934647181498,Bullish,False,False,False,False,False,3,8,8,-0.6724014841972942,1.6898663535719685,1.7348372997098405,2.9047730739748654,6.319354362583103,17.242233091749203,1122.6360153735086,0.0014379331664424733,0.01030511150893032
2015-02-17,NVDA,0.5363451242446899,0.5389813532320439,0.5303538141981562,0.5337089523952481,203340000,Bullish,1,0,0,30.555316401205264,0.002636228987353939,30.555978674790396,0.003355138197091878,38.888704924004344,2.2727528881375116,70.38594281634697,-0.0009587779361728277,-0.1793221998975918,0.5230334412729951,0.5095630774671714,0.49731419180327296,0.4876372664955091,0.4833263170517472,Bullish,False,False,False,False,False,4,9,9,0.07106836365398297,-0.5120256117269134,3.1660150307088677,4.15283732245967,6.076917417783516,22.598983950218585,1141.6155889428073,0.0026361718494418707,0.008627539033887688
2015-02-18,NVDA,0.5301141142845154,0.5365848113355812,0.5291555115451427,0.5356261514582972,170948000,Bearish,1,0,0,74.19322586599321,0.0009586598772840516,12.903771611395284,0.0009586027393726493,12.903002522611494,0.347831946013759,66.3788180415689,-0.0007189727863927686,-0.1340504003658586,0.5253936656101685,0.5132996296157794,0.5004379939443437,0.4893030252323329,0.48379186727296886,Bullish,False,False,False,False,False,5,10,10,0.47583501342895906,1.791903361416819,3.8340698544239444,6.511631253950066,6.63991106652594,27.11918891268439,1178.0146796001143,0.005512037173781792,0.007429299790438493
2015-02-19,NVDA,0.5315520763397217,0.5377830801968785,0.5291555407898855,0.536824477404527,169432000,Bearish,1,0,0,61.111295075995706,0.0009586027923514928,11.110963939202662,0.0023965355498362095,27.77774098480163,0.6363587103765967,66.84788180056627,0.006710363120011609,1.2658337024413042,0.5274464691866863,0.5166182562928597,0.5034012398867607,0.490959850765956,0.4842670932338321,Bullish,False,False,False,False,False,6,11,11,0.47555697690638804,3.462684980562828,2.602757759506542,2.78383047969245,5.383392442490237,37.68364617753559,1166.3266189457593,0.00527240106480531,0.008627539406993012
2015-02-20,NVDA,0.5353865623474121,0.535626198768944,0.5272383526361649,0.5310728210702567,157752000,Bullish,1,0,0,51.4284741144411,0.000239636421531908,2.856948228883529,0.0038344684340917423,45.714577656675374,0.9444481237665192,68.12495028635006,-0.0004792552694650176,-0.09016148949415814,0.5300931669069282,0.5200306755755055,0.5064474610734894,0.49270207474954253,0.4847757446677981,Bullish,True,False,False,False,False,0,12,12,-0.8730952531513101,1.328669195493001,2.0026950792982103,0.6546544446987719,4.220646925908476,38.51776873084565,1245.5223475156017,0.004313741277155447,0.008387846132779098
2015-02-23,NVDA,0.5310726165771484,0.535146719864011,0.5284363884037299,0.535146719864011,125008000,Bearish,1,0,0,60.71389037899865,0.0,0.0,0.0026362281734185755,39.28610962100135,0.6470695482658558,65.08720914427718,-0.00023984248340114256,-0.04479800209208629,0.530419650130335,0.5220383012121679,0.5087927139785997,0.4942068018800369,0.48523641005993096,Bullish,True,False,False,False,False,0,13,13,2.3782592885233536,2.4235346669779303,4.054391060750265,-4.688560615583529,1.2740518433386607,44.597459909853285,1288.187817623503,0.004074103286862529,0.006710331460281105
2015-02-24,NVDA,0.5367262959480286,0.5367262959480286,0.5283061530031914,0.5331176796453617,149356000,Bullish,1,0,0,42.856948228883404,0.0,0.0,0.004811526642170327,57.1430517711166,1.3333439298089147,67.15432103802654,0.002045063068213282,0.3850816261990788,0.5325218654028996,0.5247088457095971,0.5114530551185453,0.4958742330199582,0.48574874723294686,Bullish,True,False,False,False,False,0,14,14,-0.5826798743288698,3.0927487011610397,4.213332196158637,-6.006281335465092,-2.9129107418921056,43.43748587554622,1357.5346652269857,0.003608616302666845,0.008420142944837172
